original order,Date,Type,Country,Area,Location,Activity,Age,Fatal (Y/N)
3478,18-Feb-1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,21,N
3477,17-Feb-1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,,N
3476,07-Feb-1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Swimming,46,N
3475,06-Feb-1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,29,N
3474,01-Feb-1986,Unprovoked,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,29,N
3473,12-Jan-1986,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,22,N
3472,1986,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,16,N
3471,22-Dec-1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,,N
3470,10-Dec-1985,Unprovoked,USA,North Carolina,New Hanover County,,,N
3469,11-Nov-1985,Provoked,AUSTRALIA,Queensland,Gladstone,Fishing,,N
3468,05-Nov-1985,Boat,USA,California,"Southeast Farallon Island, Farallon Islands",Boat,,N
3467,03-Nov-1985,Provoked,USA,California,5 miles south of Redondo Beach,Fishing,24,N
3466,24-Oct-1985,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Body boarding,22,N
3465,22-Oct-1985,Unprovoked,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,46,N
3464,18-Oct-1985,Unprovoked,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,33,N
3463,12-Oct-1985,Unprovoked,USA,Hawaii,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,24,N
3462,05-Oct-1985,Provoked,USA,Alabama,"Gulf Shores, Baldwin County",Fishing,,N
3461,28-Sep-1985,Unprovoked,USA,California,"Elephant Rock near Tomales Point, Marin County",Free diving & spearfishing (descending),,N
3460,08-Sep-1985,Invalid,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Swimming,21,
3459,08-Sep-1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Scuba diving,,N
3458,05-Sep-1985,Invalid,USA,Florida,"Fort Pierce Inlet, St Lucie County",Swimming,17,
3457,22-Aug-1985,Unprovoked,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,87,N
3456,20-Aug-1985,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Wading,11,
3455,17-Aug-1985,Invalid,USA,Florida,"Bayport, Hernando County",Scuba diving,67,
3454,25-Jul-1985,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,13,N
3453,25-Jul-1985,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,N
3452,21-Jul-1985,Boat,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Bottom fishing for lingcod & had hooked a fish,,N
3451,19-Jul-1985,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Playing in knee-deep water,10,N
3450,Jul-1985,Unprovoked,ITALY,Sicily,Punta Secca,Snorkeling,13,N
3449,26-May-1985,Unprovoked,USA,California,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",,N
3448,08-May-1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,39,N
3447,16-Mar-1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,25,N
3446,03-Mar-1985,Unprovoked,AUSTRALIA,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",Free diving for scallops,33,Y
3445,18-Feb-1985,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),29,N
3444,03-Feb-1985,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,16,N
3443,27-Jan-1985,Unprovoked,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,15,N
3442,18-Jan-1985,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,,,
3441,17-Jan-1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,18,N
3440,16-Jan-1985,Boat,NEW ZEALAND,South Island,Christchurch,Investigating shark sighting,,N
3439,04-Jan-1985,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,34,N
3438,Jan-1985,Unprovoked,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,,N
3437,Jan-1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Spearfishing,20,N
3436,1985,Unprovoked,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",,,Y
3435,1985,Unprovoked,IRAN,,"Ramin, near Ahvaz",Fishing,,Y
3434,03-Dec-1984,Boat,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,,N
3433,30-Nov-1984,Unprovoked,AUSTRALIA,Queensland,1 km off Black's Beach,Sailing on catamaran & fell into the water,16,Y
3432,11-Nov-1984,Unprovoked,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,13,N
3431,04-Nov-1984,Provoked,USA,Florida,"Fowey Rock, Key Biscayne",Spearfishing,29,N
3430,21-Oct-1984,Invalid,USA,Florida,"Wabasso Beach, Indian River County",Swimming,22,
3429,21-Oct-1984,Unprovoked,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,23,N
3428,17-Oct-1984,Invalid,USA,Florida,"Boynton Beach, Palm Beach County",Wading,77,
3427,14-Oct-1984,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County",Surfing,15,N
3426,30-Sep-1984,Unprovoked,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),25,N
3425,30-Sep-1984,Unprovoked,USA,California,"Tomales Point, Marin County","Free diving , but surfacing",,N
3424,23-Sep-1984,Unprovoked,USA,Florida,Volusia County,Surfing,17,N
3423,22-Sep-1984,Unprovoked,USA,Florida,,Swimming,Elderly,N
3422,22-Sep-1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,16,N
3421,19-Sep-1984,Unprovoked,USA,Florida,Volusia County,Swimming,,UNKNOWN
3420,17-Sep-1984,Unprovoked,USA,California,"Mission Beach, San Diego County",Wading,,N
3419,15-Sep-1984,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Skindiving,28,Y
3418,11-Sep-1984,Provoked,MEXICO,Baja California,Guadalupe Island,Spearfishing,,N
3417,24-Aug-1984,Invalid,USA,Florida,"Off Crystal River, Citrus County",Boat capsized?,31,
3416,07-Aug-1984,Unprovoked,INDONESIA,,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",,Y
3415,24-Jul-1984,Unprovoked,USA,Texas,South Padre Island,Swimming,13,N
3414,24-Jul-1984,Unprovoked,USA,Texas,South Padre Island,Swimming,18,N
3413,22-Jul-1984,Invalid,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,21,
3412,01-Jul-1984,Unprovoked,USA,Florida,,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",30,N
3411,Jul-1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,,N
3410,15-Jun-1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,27,N
3409,03-Jun-1984,Unprovoked,USA,Hawaii,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,13,N
3408,03-Jun-1984,Unprovoked,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,20s,Y
3407,31-May-1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,28,N
3406,17-Mar-1984,Invalid,SOMALIA,,,Murder,,
3405,14-Mar-1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,,N
3404,10-Mar-1984,Boat,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Rowing,,N
3403,01-Mar-1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,,,UNKNOWN
3402,18-Feb-1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",Fishing,,N
3401,17-Feb-1984,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,33,N
3400,12-Feb-1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,,,
3399,11-Feb-1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island,Spearfishing,27,N
3398,05-Jan-1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,14,N
3397,04-Jan-1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,,14,Y
3396,1984,Provoked,USA,California,San Francisco,Steinhart Aquarium,,N
3395,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,,N
3394,30-Dec-1983,Invalid,GREECE,Andikira Fokithes,,Spearfishing,36,
3393,25-Dec-1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,17,N
3392,24-Dec-1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,48,N
3391,22-Dec-1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,16,N
3390,21-Dec-1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,47,N
3389,07-Dec-1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,LaMercy,,,
3388,21-Nov-1983,Sea Disaster,PHILIPPINES,Central Philippines,,Ferry boat sank,,N
3387,10-Nov-1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,15,N
3386,10-Nov-1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,,
3385,17-Oct-1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,16,N
3384,13-Oct-1983,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,20,N
3383,04-Sep-1983,Unprovoked,USA,Florida,"Off Lake Worth, Palm Beach County",Standing,15,N
3382,20-Aug-1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,,N
3381,20-Aug-1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,29,N
3380,15-Aug-1983,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,14,N
3379,13-Aug-1983,Provoked,USA,Florida,"Riviera Beach, Palm Beach County",Skindiving,14,N
3378,13-Aug-1983,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",Diving,22,N
3377,06-Aug-1983,Boat,USA,Rhode Island,,Fishing,,N
3376,26-Jul-1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,21,Y
3375,25-Jul-1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,24,Y
3374,25-Jul-1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,28,N
3373,15-Jul-1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,,N
3372,12-Jul-1983,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,39,N
3371,08-Jul-1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,13,N
3370,05-Jul-1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,17,N
3369,29-Jun-1983,Unprovoked,USA,Florida,"Off 12th Street, Miami Beach",Swimming,42,N
3368,22-Jun-1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,15,Y
3367,20-Jun-1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,21,N
3366,15-Jun-1983,Unprovoked,BAHAMAS,,Carter Cay,,30,N
3365,15-Jun-1983,Invalid,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba diving,,
3364,1983,Unprovoked,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,,N
3363,31-May-1983,Unprovoked,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,21,N
3362,24-May 1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",Surfing,15,N
3361,21-May-1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",Surfing,22,N
3360,19-Apr-1983,Unprovoked,USA,Florida,,Surfing,,UNKNOWN
3359,12-Apr-1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,27,N
3358,02-Apr-1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,16,N
3357,02-Apr-1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mpande,,,
3356,30-Mar-1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,17,N
3355,22-Mar-1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,,N
3354,10-Mar-1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,,N
3353,Mar-1983,Unprovoked,NEW CALEDONIA,Loyalty Islands,"We, Lifou",,,N
3352,20-Feb-1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,16,N
3351,24-Jan-1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort,Fishing,43,N
3350,15-Jan-1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,,,
3349,10-Jan-1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,22,N
3348,08-Jan-1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,32,N
3347,1983,Unprovoked,,English Channel,,Swimming,,N
3346,1983,Unprovoked,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",Ran into the water,,Y
3345,1983,Provoked,USA,North & South Carolina,,Fishing,,N
3344,Nov-1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,,N
3343,13-Oct-1982,Unprovoked,USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,26,N
3342,30-Sep-1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,N
3341,30-Sep-1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,N
3340,27-Sep-1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,20,N
3339,25-Sep-1982,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,36,N
3338,19-Sep-1982,Unprovoked,USA,California,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),28,N
3337,04-Sep-1982,Invalid,USA,Florida,"Hollywood Beach, Broward County",,mid-20s,
3336,29-Aug-1982,Unprovoked,JAPAN,Kumamoto Prefecture,Ariake Bay,,,Y
3335,29-Aug-1982,Invalid,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,17,
3334,29-Aug-1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,18,N
3333,Aug-1982,Unprovoked,TUNISIA,,"Skanes, near Monaster",Windsurfing,,N
3332,31-Jul-1982,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,20,
3331,24-Jul-1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Paddleskiing,38,N
3330,24-Jul-1982,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,26,N
3329,19-Jul-1982,Unprovoked,USA,Florida,"Stuart Beach, Martin County ",Swimming,17,N
3328,11-Jul-1982,Invalid,USA,California,"Malibu, Los Angeles County",Swimming,43,
3327,01-Jul-1982,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,19,N
3326,Jul-1982,Unprovoked,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",,,N
3325,29-Jun-1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,27,Y
3324,26-Jun-1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,20,N
3323,26-Jun-1982,Unprovoked,BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing ,19,N
3322,25-Jun-1982,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",,8,N
3321,13-Jun-1982,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",,N
3320,1982,Invalid,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",,Ca. 33,
3319,10-Mar-1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,16,N
3318,07-Mar-1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,20,Y
3317,Mar-1982,Unprovoked,NEW CALEDONIA,,,Spearfishing,,N
3316,28-Feb-1982,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,Spearfishing,32,Y
3315,27-Feb-1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,18,N
3314,17-Feb-1982,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Fishing,,N
3313,14-Feb-1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Wading,,N
3312,14-Feb-1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Swimming,,N
3311,13-Feb-1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,75,Y
3310,07-Feb-1982,Unprovoked,USA,California,"Stillwater Cove, Sonoma County",Scuba diving (submerged),,N
3309,07-Feb-1982,Unprovoked,USA,Florida,Elliot Key,Diving,29,Y
3308,29-Jan-1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Swimming,20,N
3307,1982,Boat,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",Boat,,UNKNOWN
3306,1982,Boat,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",Fishing on a boat,,N
3305,1982,Unprovoked,TUNISIA,Biserta,Bechateur,Spearfishing,,UNKNOWN
3304,19-Dec-1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,24,Y
3303,13-Dec-1981,Unprovoked,AUSTRALIA,Queensland,Green Island,,,N
3302,13-Dec-1981,Unprovoked,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",,N
3301,30-Nov-1981,Unprovoked,REUNION,Saint-Philippe,Vicendo,Spearfishing,,N
3300,19-Oct-1981,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,,N
3299,09-Nov-1981,Unprovoked,USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,59,N
3298,19-Oct-1981,Unprovoked,USA,Florida,"Jupiter Island, Brevard County",Swimming,19,N
3297,17-Oct-1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,,UNKNOWN
3296,16-Oct-1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,17,N
3295,01-Oct-1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,24,N
3294,28-Sep-1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,28,N
3293,27-Sep-1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,,N
3292,15-Sep-1981,Unprovoked,USA,Florida,"Tampa Bay, Manatee County",Swimming,26,Y
3291,03-Sep-1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,25,N
3290,03-Sep-1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,24,N
3289,29-Aug-1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,N
3288,24-Aug-1981,Provoked,USA,Florida,Gulf Island National Seashore Park,Spearfishing,19,N
3287,24-Aug-1981,Invalid,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,,
3286,10-Aug-1981,Unprovoked,USA,Florida,"Marathon, Monroe County",Diving,,N
3285,10-Aug-1981,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",19,Y
3284,07-Aug-1981,Unprovoked,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Snorkeling on surface,53,N
3283,20-Jul-1981,Unprovoked,USA,Florida,"St. Petersburg Beach, Pinellas County",Swimming,16,N
3282,18-Jul-1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,32,N
3281,07-Jul-1981,Unprovoked,USA,Florida,Carter Cay,Spearfishing,,N
3280,01-Jul-1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Clansthal,Catching sardines,,N
3279,15-Jun-1981,Boat,ENGLAND,,Isle of Wight,Fishing,,N
3278,12-Jun-1981,Invalid,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",,,
3277,24-May-1981,Unprovoked,USA,Hawaii,"Ha'ena Beach Park, Kaua'i","Scuba diving, reportedly also spearfishing",,Y
3276,23-May-1981,Unprovoked,SOUTH KOREA,Chungnam,Wae-yeon Island,Shell diving,27,Y
3275,20-May-1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,27,N
3274,19-May-1981,Unprovoked,USA,Florida,"Sands Cut, Elliot Key",Free diving,32,N
3273,16-May-1981,Unprovoked,USA,Florida,"Jacksonville, Duval County",Diving,,N
3272,10-May-1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kings Beach,Surfing,19,N
3271,07-May-1981,Provoked,NAMIBIA,Eronogo Region,Walvis Bay,Finning the shark that bit him,,N
3270,08-Mar-1981,Sea Disaster,BERMUDA,,,Foundering of the Israeli freighter Mezada,,N
3269,05-May-1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,24,N
3268,25-Mar-1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,19,N
3267,24-Mar-1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,24,N
3266,04-Mar-1981,Unprovoked,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Free diving Spearfishing,,N
3265,Mar-1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,Diving,,UNKNOWN
3264,19-Feb-1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,30,N
3263,16-Feb-1981,Unprovoked,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,,N
3262,07-Feb-1981,Unprovoked,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",,,UNKNOWN
3261,02-Feb-1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,15,N
3260,Feb-1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,Spearfishing,,N
3259,30-Jan-1981,Unprovoked,USA,Florida,20 miles from Mayport,Commercial spearfishing,25,N
3258,01-Jan-1981,Invalid,SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,23,
3257,1981,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,27,N
3256,1981,Unprovoked,GREECE,Pagasitikos Gulf,,"Free diving / spearfishing, ",,N
3255,12-30-1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Paddleskiing,25,N
3254,26-Dec-1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,,,
3253,24-Nov-1980,Unprovoked,REUNION,Grand'Anse,Petite-Ile,Spearfishing,22,N
3252,18-Nov-1980,Unprovoked,AUSTRALIA,Western Australia,Lancelin,Swimming,,N
3251,17-Nov-1980,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mnini,Swimming,,
3250,11-Nov-1980,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,16,Y
3249,27-Oct-1980,Unprovoked,USA,Oregon,Off Umpqua River,Surfing,29,N
3248,17-Oct-1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,19,N
3247,22-Aug-1980,Unprovoked,MEXICO,,,Diving in tuna net,22,Y
3246,10-Aug-1980,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,10,N
3245,04-Aug-1980,Unprovoked,USA,Hawaii,"Puamana, Lahaina, Maui",Resting on body board,,N
3244,26-Jul-1980,Unprovoked,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife",Skin diving,,N
3243,27-Jul-1980,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",Body surfing,15,N
3242,23-Jul-1980,Unprovoked,USA,Delaware,Dewey Beach,Standing,22,N
3241,Jul-1980,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County",Surfing,,N
3240,Jul-1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,N
3239,26-Jun-1980,Provoked,USA,California,"Off San Clemente Island, Los Angeles County",Scuba diving,44,N
3238,15-May-1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fullers Bay,Surfing,22,N
3237,25-Apr-1980,Provoked,JAMAICA,St. Mary's Parish,"Priestman's River area, East Portland",Spearfishing,,N
3236,22-Apr-1980,Sea Disaster,PHILIPPINES,Romblon Province,"Maestre de Campo Island, 120 miles south of Manila",Sinking of the ferryboat Don Juan,,Y
3235,Apr-1980,Unprovoked,MEXICO,Sinaloa,Mazatlán,Body surfing,13,N
3234,29-Mar-1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Free diving,52,Y
3233,28-Mar-1980,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,,N
3232,15-Mar-1980,Sea Disaster,PHILIPPINES,,250 miles southwest of Manila,Sinking of the ferryboat Bongbong 1,,Y
3231,11-Mar-1980,Provoked,SOUTH AFRICA,Western Cape Province,Velddrif,Fishing,61,N
3230,31-Jan-1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Ballito,Body boarding,24,N
3229,25-Jan-1980,Unprovoked,KENYA,Lamu Archipelago,South of Lamu Island,Spearfishing,29,N
3228,15-Jan-1980,Provoked,SOUTH AFRICA,KwaZulu-Natal,Ansteys,Spearfishing,29,N
3227,13-Jan-1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay,Swimming,,N
3226,10-Jan-1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kings Beach,Swimming,25,N
3225,05-Jan-1980,Unprovoked,CHILE,Los Vilos,"Punta Negra, Pichidangui",Hookah Diving,,Y
3224,1980,Provoked,NORTH ATLANTIC OCEAN,,Onboard swordfish trawler,Gaffing netted shark,34,N
3223,1980,Invalid,GREECE,Island of Kos,,Surfing,,
3222,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Spearfishing,20,
3221,1980,Unprovoked,TONGA,Ha'api,Ha'ano Island,Spearfishing,20s,N
