Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
1985.08.22,1985-08-22 00:00:00,Unprovoked,Usa,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,M,Right calf bitten & less serious injury to left foot,N,"Sumter Daily Item, 8/23/1985",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.08.22-Friedlander.pdf,3457.0
1985.08.20,1985-08-20 00:00:00,Provoked,Usa,Florida,"New Smyrna Beach, Volusia County",Wading,M,"3"" wound on thigh",N,"Orlando Sentinel, 8/21//1985, p. D.2",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.08.20-Prendgeast.pdf,3456.0
1985.08.17,1985-08-17 00:00:00,Provoked,Usa,Florida,"Bayport, Hernando County",Scuba diving,M,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,N,"E. Pace, GSAF; J. McAniff, NUADC;  Orlando Sentinel, 12/6/1985; K Duffy, Daytona Beach News Journal, 8/26/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.08.17-Sewell.pdf,3455.0
1985.07.25.b,1985-07-25 00:00:00,Unprovoked,Usa,Florida,"Daytona Beach, Volusia County",Wading,F,Right calf bitten,N,"M. McKee,Orlando Sentinel, 7/30/1985, p.A1",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.07.25.b-Lyons.pdf,3454.0
1985.07.25.a,1985-07-25 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Hand bitten,N,"M. McKee,Orlando Sentinel, 7/30/1985",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.07.25.a-JasonLee.pdf,3453.0
1985.07.21,1985-07-21 00:00:00,Provoked,Usa,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Bottom fishing for lingcod & had hooked a fish,No Data,"No injury to occupant, shark rammed boat catapulting it out of the water",N,"R. Collier, p.172",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.07.21-Siverling_Collier.pdf,3452.0
1985.07.19,1985-07-19 00:00:00,Unprovoked,Usa,South Carolina,"Folly Beach, Charleston County",Playing in knee-deep water,F,2/3rd of left calf removed,N,"Atlanta Journal-Constitution, 7/22&23/1985 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.07.19-Steed.pdf,3451.0
1985.07.00,Mid Jul-1985 or mid Jul-1986,Unprovoked,Italy,Sicily,Punta Secca,Snorkeling,M,Contusion of left foot,N,"A. De Maddalena; De Maddalena (2001), N. Montoya (pers. comm.)",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.07.00-Montoya.pdf,3450.0
1985.05.26,1985-05-26 00:00:00,Unprovoked,Usa,California,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",M,Leg injured,N,"R. Collier, p.86",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.05.26-Rodriquez_Collier.pdf,3449.0
1985.05.08,1985-05-08 00:00:00,Provoked,South africa,KwaZulu-Natal,Umdhloti,Spearfishing,M,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",N,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.05.08-Denge.pdf,3448.0
1985.03.16,1985-03-16 00:00:00,Unprovoked,Usa,Florida,"Palm Beach, Palm Beach County",Surfing,M,Hand bitten,N,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.03.16-NV-Zarnowski.pdf,3447.0
1985.03.03,1985-03-03 00:00:00,Unprovoked,Australia,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,FATAL,Y,"A. MacCormick, pp.76-79; H. Edwards, p.155; A. Sharpe, pp.126-127; J. West, ASAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.03.03-Durdin.pdf,3446.0
1985.02.18,1985-02-18 00:00:00,Unprovoked,Usa,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),M,Bruised,N,"R. Collier, pp.95-96",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.02.18-Massahos_Collier.pdf,3445.0
1985.02.03,1985-02-03 00:00:00,Unprovoked,Usa,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,M,Right foot bitten,N,"Miami Herald, 2/4/1985, p.6",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.02.03-Mesiano.pdf,3444.0
1985.01.27,1985-01-27 00:00:00,Unprovoked,South africa,Western Cape Province,Struisbaai,Swimming,M,"Right knee, calf and ankle lacerated",N,"M. Botha, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.27-Botha.pdf,3443.0
1985.01.18,1985-01-18 00:00:00,Provoked,South africa,KwaZulu-Natal,Umzimkulu,No Data,M,Probable drowning / scavenging,N,"G. Cliff, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.18-Base.pdf,3442.0
1985.01.17,1985-01-17 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Umbogintwini,Surfing,M,Thigh & calf bitten,N,"B. Eldridge, M. Levine, GSAF; G. Charter & B. Davis, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.17-Eldridge.pdf,3441.0
1985.01.16,1985-01-16 00:00:00,Provoked,New zealand,South Island,Christchurch,Investigating shark sighting,No Data,"No injury to occupant, shark bit boat",N,"Courier-Mail, 1/17/1985",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.16-McNally-boat.pdf,3440.0
1985.01.04,1985-01-04 00:00:00,Unprovoked,South africa,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,M,Minor injury to torso,N,"D. James, M. Levine, GSAF; G. Cliff, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.04-DonJames.pdf,3439.0
1985.01.00.b,1985-01-01 00:00:00,Unprovoked,New caledonia,South Province,Amedee Island,Spearfishing,No Data,Legs bitten ,N,"W. Leander; Les Nouvelles Caledoniennes, 3/17/2000",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.00.b-Mathelon.pdf,3438.0
1985.01.00.a,1985-01-01 00:00:00,Provoked,South africa,KwaZulu-Natal,Salt Rock,Spearfishing,M,Upper right arm bitten after he shot the shark PROVOKED INCIDENT,N,"B. Coppin, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.00.a-Coppin.pdf,3437.0
1985.00.00.f,1985-01-01 00:00:00,Unprovoked,Vanuatu,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",No Data,M,FATAL,Y,S. Combs,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.00.00.f-Vanuatu.pdf,3436.0
1985.00.00.a,1985-01-01 00:00:00,Unprovoked,Iran,No Data,"Ramin, near Ahvaz",Fishing,M,FATAL,Y,B. Coad & F. Papahn,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.00.00.a-Fisherman.pdf,3435.0
1984.12.03,1984-12-03 00:00:00,Provoked,Italy,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,No Data,No injury,N,A. De Maddalena; F. Serena (pers. Comm.),http://sharkattackfile.net/spreadsheets/pdf_directory/1984.12.03-boat-Elba.pdf,3434.0
1984.11.30,1984-11-30 00:00:00,Unprovoked,Australia,Queensland,1 km off Black's Beach,Sailing on catamaran & fell into the water,M,FATAL,Y,"Courier-Mail, 12/1/1984, p.1; A. Sharpe, p.106",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.30-NicholasBos.pdf,3433.0
1984.11.11,1984-11-11 00:00:00,Unprovoked,Usa,Florida,"Jupiter Island Beach, Martin County",Surfing,M,Left foot bitten,N,"Miami Herald, 11/18/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.11-Stetson.pdf,3432.0
1984.11.04,1984-11-04 00:00:00,Provoked,Usa,Florida,"Fowey Rock, Key Biscayne",Spearfishing,M,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,"Miami Herald, 11/5/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.04-Ferro.pdf,3431.0
1984.10.21.b,1984-10-21 00:00:00,Provoked,Usa,Florida,"Wabasso Beach, Indian River County",Swimming,M,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",N,"Evening Independent, 10/24/1984, p.14;      E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.21.b-Peebles.pdf,3430.0
1984.10.21,1984-10-21 00:00:00,Unprovoked,Usa,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,F,"9"" laceration to right forearm ",N,"Miami Herald, 10/24/1984, p.17A",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.21.a-Fletcher.pdf,3429.0
1984.10.17,1984-10-17 00:00:00,Provoked,Usa,Florida,"Boynton Beach, Palm Beach County",Wading,F,"10"" laceration on leg",N,"Miami Herald, 10/18/1984, ",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.17-Dunn.pdf,3428.0
1984.10.14.a,1984-10-14 00:00:00,Unprovoked,Usa,Florida,"Bob Graham Beach, Martin County",Surfing,M,Left calf bitten,N,"Miami Herald, 10/16/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.14.a-Westberg.pdf,3427.0
1984.09.30.b,1984-09-30 00:00:00,Unprovoked,Usa,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),M,"Abrasion on right foot, board bitten",N,"R. Collier, pp.94-95",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.30.b-Rice_Collier.pdf,3426.0
1984.09.30.a,1984-09-30 00:00:00,Unprovoked,Usa,California,"Tomales Point, Marin County","Free diving , but surfacing",M,Legs & buttocks bitten,N,"R. Collier, pp.93-94",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.30.a-Parsons_Collier.pdf,3425.0
1984.09.23,1984-09-23 00:00:00,Unprovoked,Usa,Florida,Volusia County,Surfing,M,Right foot bitten,N,"Miami Herald, 9/26/1984, p.2D",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.23-Miller.pdf,3424.0
1984.09.22.b,1984-09-22 00:00:00,Unprovoked,Usa,Florida,No Data,Swimming,M,Left foot lacerated,N,"Miami Herald, 9/26/1984, p.2D",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.22.b-ElderlyMale.pdf,3423.0
1984.09.22.a,1984-09-22 00:00:00,Unprovoked,Usa,Florida,"Indiatlantic, Brevard County",Surfing,M,Foot bitten,N,"Miami Herald, 9/26/1984, p.2D",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.22.a-AnthonyCarter.pdf,3422.0
1984.09.19,1984-09-19 00:00:00,Unprovoked,Usa,Florida,Volusia County,Swimming,No Data,No details,N,"Miami Herald, 9/26/1984, p.2D",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.19-VolusiaCounty.pdf,3421.0
1984.09.17,1984-09-17 00:00:00,Unprovoked,Usa,California,"Mission Beach, San Diego County",Wading,M,Arm bitten,N,"R. Collier, p.93 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.17-Cramer_Collier.pdf,3420.0
1984.09.15,1984-09-15 00:00:00,Unprovoked,Usa,California,"Pigeon Point, San Mateo County",Skindiving,M,FATAL,Y,"R. Collier, p. 72",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.15-Conger_Collier.pdf,3419.0
1984.09.11,1984-09-11 00:00:00,Provoked,Mexico,Baja California,Guadalupe Island,Spearfishing,M,"No Injury, PROVOKED INCIDENT",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.11-Ingram.pdf,3418.0
1984.08.24,1984-08-24 00:00:00,Provoked,Usa,Florida,"Off Crystal River, Citrus County",Boat capsized?,F,Death was due to drowning; body scavenged by a tiger shark,N,"St. Petersburg Times, 11/20/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.08.24-Washington.pdf,3417.0
1984.08.07,1984-08-07 00:00:00,Unprovoked,Indonesia,No Data,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",M,FATAL,Y,"Courier Mail, 8/15/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.08.07-Dorolonda.pdf,3416.0
1984.07.24.b,1984-07-24 00:00:00,Unprovoked,Usa,Texas,South Padre Island,Swimming,F,Lacerations on right foot,N,"A. MacCormick, pp.8-9",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.24.b-girl.pdf,3415.0
1984.07.24.a,1984-07-24 00:00:00,Unprovoked,Usa,Texas,South Padre Island,Swimming,F,Legs severely lacerated,N,"A. MacCormick, pp.8-9",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.24.a-Gaytan.pdf,3414.0
1984.07.22,1984-07-22 00:00:00,Provoked,South africa,Western Cape Province,Cape Point,Spearfishing,M,"FATAL, but shark involvement prior to death could not be determined",N,"P. Landsberg, M.D.",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.22-Hayman.pdf,3413.0
1984.07.01,1984-07-01 00:00:00,Unprovoked,Usa,Florida,No Data,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",M,Leg abraded,N,"New Orleans Times-Picayune, 3 July 1984; A. MacCormick, p.109-110",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.01-McConnell.pdf,3412.0
1984.07.00.a,1984-07-01 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Sodwana,Spearfishing,M,"No injury, shark hit swim fin",N,"R O'Connor, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.00-O'Connor.pdf,3411.0
1984.06.15,1984-06-15 00:00:00,Unprovoked,South africa,Western Cape Province,"Muizenberg, False Bay",Surfing,M,"No injury, board bitten",N,"The Argus, 6/16/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.15-Doran.pdf,3410.0
1984.06.03.b,1984-06-03 00:00:00,Unprovoked,Usa,Hawaii,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,F,Foot bitten,N,"J. Borg, p.76; L. Taylor (1993), pp.106-107",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.03.b-Buecher.pdf,3409.0
1984.06.03,1984-06-03 00:00:00,Unprovoked,Vanuatu,Malampa Province,"Atchin Island, off Malakula",Swimming,M,FATAL,Y,"Telegraph, 6/8/1984, p.12 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.03-Brem.pdf,3408.0
1984.05.31,1984-05-31 00:00:00,Unprovoked,South africa,Western Cape Province,Arniston,Spearfishing,M,Swim fin bitten,N,"A. Bosman, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.05.31-Bosman.pdf,3407.0
1984.03.17,1984-03-17 00:00:00,Provoked,Somalia,No Data,No Data,Murder,M, Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed ,N,"Courier Mail, 5/18/1984",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.17-Eleven-stowaways.pdf,3406.0
1984.03.14,1984-03-14 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Amanzimtoti,Surfing,M,"No injury, 8 pressure dings in surboard",N,"G. Charter, NSB; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.14-Benvick.pdf,3405.0
1984.03.10,1984-03-10 00:00:00,Provoked,South africa,Eastern Cape Province,Swartkops River mouth,Rowing,M,"No injury to occupant, shark seized oar and disappeared with it.",N,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.10-Beyers.pdf,3404.0
1984.03.01,1984-03-01 00:00:00,Unprovoked,Australia,Western Australia,Coral Bay,No Data,No Data,No details,N,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.01-NV-Greenwood.pdf,3403.0
1984.02.18,1984-02-18 00:00:00,Provoked,South africa,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",Fishing,M,Leg lacerated by hooked shark PROVOKED INCIDENT,N,"M. Levine, GSAF; Eastern Province Herald, 6/28/1986",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.18-Melville.pdf,3402.0
1984.02.17,1984-02-17 00:00:00,Provoked,South africa,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,M,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,"G. Buckland, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.17-Buckland.pdf,3401.0
1984.02.12,1984-02-12 00:00:00,Provoked,South africa,Eastern Cape Province,St. Georges Strand,No Data,No Data,"Human remains recovered, evidence of scavenging by shark/s",N,"G. Charter, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.12-StGeorgesStrand.pdf,3400.0
1984.02.11,1984-02-11 00:00:00,Unprovoked,Australia,Queensland,Derwent Island,Spearfishing,M,Hand bitten,N,"Courier-Mail, 2/14/1984, p.3",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.11-Pearce.pdf,3399.0
1984.01.05,1984-01-05 00:00:00,Unprovoked,South africa,Eastern Cape Province,Port Alfred,Swimming,M,Foot bitten,N,"R. Tennent, M. Levine, Dr. Dempers & K. Reynolds",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.01.05-Tennent.pdf,3398.0
1984.01.04,1984-01-04 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Umlaas Canal,No Data,F,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,"G. Charter, B. Davis & G. Cliff, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.01.04-UmlaasCanal.pdf,3397.0
1984.00.00.b,1984-01-01 00:00:00,Provoked,Usa,California,San Francisco,Steinhart Aquarium,M,Head mouthed by captive shark PROVOKED INCIDENT,N,D.C. Reed,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.00.00.b-Reed.pdf,3396.0
1984.00.00.a,1984-01-01 00:00:00,Unprovoked,Usa,Florida,"Indiatlantic, Brevard County",Surfing,M,Right foot bitten,N,"M. Vosburgh, Orlando Sentinel, 5/28/1988 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1984.00.00.a-Schwarze.pdf,3395.0
1983.12.30,1983-12-30 00:00:00,Provoked,Greece,Andikira Fokithes,No Data,Spearfishing,M,"Coroner determined the man was killed by a boat propeller, not a tiger shark",N,"Miami Herald, 1/4/1984; M. Bardanis",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.30-Chrysafis.pdf,3394.0
1983.12.25,1983-12-25 00:00:00,Unprovoked,Usa,Florida,"Riviera Beach, Palm Beach County",Surfing,M,Left foot & thigh bitten,N,"Palm Beach Post, 12/26/1983   ",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.25-Herrin.pdf,3393.0
1983.12.24,1983-12-24 00:00:00,Unprovoked,Australia,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,M,Fingers bitten,N,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.24-Williams.pdf,3392.0
1983.12.22,1983-12-22 00:00:00,Unprovoked,South africa,Eastern Cape Province,Great Fish River,Swimming,M,"Left calf, ankle & foot lacerated",N,"C. Biggs, M. Levine, J. Mansfield, Dr. T. Counihan & Dr. Clement",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.22-Biggs.pdf,3391.0
1983.12.21,1983-12-21 00:00:00,Unprovoked,South africa,Eastern Cape Province,Nahoon,Swimming,M,Shin lacerated,N,"R. Horn, East London Aquarium;  J. Heydenrych, M.Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.21-Heydenrych.pdf,3390.0
1983.12.07,1983-12-07 00:00:00,Provoked,South africa,KwaZulu-Natal,LaMercy,No Data,M,"Two feet found in 1.74 m, 115-kg Zambesi shark, confirmed as a postmortem scavenging",N,"R.B. Wilson , G. Cliff, B. Davis & G. Charter, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.07-feet.pdf,3389.0
1983.11.21,1983-11-21 00:00:00,Unprovoked,Philippines,Central Philippines,No Data,Ferry boat sank,M,Left foot nipped,N,"Montreal Gazette, 11/28/1983",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.21-FerryDisaster.pdf,3388.0
1983.11.10.R,1983-11-10 00:00:00,Unprovoked,Usa,Florida,"Melbourne Beach, Brevard County",Surfing,M,Laceration to left foot,N,"St. Petersburg Times, 11/10/1983",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.10.R-Michael-Burns.pdf,3387.0
1983.11.10,1983-11-10 00:00:00,Provoked,South africa,KwaZulu-Natal,Tongaat,Swimming,F,Probable drowning and scavenging,N,"R. Wilson, G. Cliff, Natal Sharks Board; GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.10.a-Chanderpaul.pdf,3386.0
1983.10.17.a,1983-10-17 00:00:00,Unprovoked,Usa,Florida,"Stuart Beach, Martin County",Surfing,M,Puncture marks in leg & surfboard dinged,N,"Miami Herald, 10/21/1983, p.1C",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.10.17.a-Kalein.pdf,3385.0
1983.10.13,1983-10-13 00:00:00,Unprovoked,Usa,Florida,"Daytona Beach, Volusia County",Wading,M,Lacerations to left ankle,N,"Daytona Beach Morning Journal, 10/21/1983",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.10.13-Hundley.pdf,3384.0
1983.09.04,1983-09-04 00:00:00,Unprovoked,Usa,Florida,"Off Lake Worth, Palm Beach County",Standing,M,Abrasions to leg,N,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.09.04-Kolodny.pdf,3383.0
1983.08.20.b,1983-08-20 00:00:00,Unprovoked,Usa,Oregon,"Cape Kiwanda,Tillamook County",Surfing,M,"No injury, board bitten",N,"R.N. Lea & D. Miller; R. Collier, p.81",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.20.b-RandyWeldon.pdf,3382.0
1983.08.20.a,1983-08-20 00:00:00,Unprovoked,South africa,Western Cape Province,"Seal Island, False Bay",Spearfishing,M,Inner thighs lacerated,N,"A. Louw, M. Levine,  GSAF; G. Cliff, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.20.a-Louw.pdf,3381.0
1983.08.15,1983-08-15 00:00:00,Unprovoked,Usa,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,Foot bitten,N,"Washington Post, 8/16/1983",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.15-Rendenbaugh.pdf,3380.0
1983.08.13.b,1983-08-13 00:00:00,Provoked,Usa,Florida,"Riviera Beach, Palm Beach County",Skindiving,M,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,M. Vorenburg. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.13.b-Goodman.pdf,3379.0
1983.08.13.a,1983-08-13 00:00:00,Unprovoked,Usa,Florida,"6 miles south of Boca Chica Key, Monroe County ",Diving,F,Right leg severely bitten,N,"Miami Herald, 8/14/1983, p.1D ",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.13.a-JackieLynn.pdf,3378.0
1983.08.06,1983-08-06 00:00:00,Provoked,Usa,Rhode Island,No Data,Fishing,No Data,No injury to occupants,N,"Providence Journal, 8/7/1983",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.06-RI-boats.pdf,3377.0
1983.07.26,1983-07-26 00:00:00,Unprovoked,Australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,F,"FATAL, shark seized her by the chest and took her underwater ",Y,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.26-Horton.pdf,3376.0
1983.07.25.b,1983-07-25 00:00:00,Unprovoked,Australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,M,"FATAL, shark bit leg, then dragged him underwater ",Y,"H. Edwards, pp. 103-104; A. MacCormick, pp.110-112",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.25.b-Murphy.pdf,3375.0
1983.07.25.a,1983-07-25 00:00:00,Unprovoked,Australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,"Left knee bitten, but survived",N,"H. Edwards, pp.103-104; A. MacCormick, pp.110-112 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.25.a-Boundy.pdf,3374.0
1983.07.15,1983-07-15 00:00:00,Unprovoked,South africa,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,M,Left arm injured by shark's tail as it swam beneath his board,N,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.15-NV-Walkup.pdf,3373.0
1983.07.12.b,1983-07-12 00:00:00,Unprovoked,Usa,Florida,"Caloosahatchee River, Lee County",Windsurfing,F,Left ankle nipped (3 punctures wounds),N,"Miami Herald, 7/14/1983, p.12A",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.12.b-Komito.pdf,3372.0
1983.07.12.a,1983-07-08 00:00:00,Unprovoked,Bahamas,Abaco Islands,Green Turtle Cay,Spearfishing,M,Lacerations to left calf,N,"Miami Herald, 7/13/1983, p.2D",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.12.a-Gijsendorfer.pdf,3371.0
1983.07.05,1983-07-05 00:00:00,Unprovoked,Usa,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,M,"No injury, shark bit air mattress, deflating it",N,"E.Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.05-Osterman.pdf,3370.0
1983.06.29,1983-06-29 00:00:00,Unprovoked,Usa,Florida,"Off 12th Street, Miami Beach",Swimming,M,Left foot bitten,N,"Miami Herald, 6/30/1983, ",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.29-Rosen.pdf,3369.0
1983.06.22,1983-06-22 00:00:00,Unprovoked,Bahamas,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,M,FATAL,Y,"Chicago Tribune, 8/21/1983, p.B7",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.22-Harth.pdf,3368.0
1983.06.20,1983-06-20 00:00:00,Unprovoked,Usa,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,M,Left foot lacerated,N,"Miami Herald, 6/22/1983, p.2B",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.20-Skinner.pdf,3367.0
1983.06.15,1983-06-15 00:00:00,Unprovoked,Bahamas,No Data,Carter Cay,No Data,M,Lacerations to hand & foot,N,"E.  Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-NV-Yost.pdf,3366.0
1983.06.15,1983-06-15 00:00:00,Provoked,Italy,Northwest Italy,Riomaggiore (Ligura),Scuba diving,M,"No injury, 3 m shark ""harassed"" him at depth of 5 m",N,MEDSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-Piaviali.pdf,3365.0
1983.06.00,1983-06-01 00:00:00,Unprovoked,Bahamas,Berry Islands,Whale Cay,Spearfishing,M,Lacerations to thigh & buttocks,N,"E. Pace, FSAF & M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.00-Starling,3364.0
1983.05.31,1983-05-31 00:00:00,Unprovoked,Usa,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,M,"Left calf, knee & hands lacerated",N,"E. Pace; Miami Herald, 6/2/1983, p.10A",http://sharkattackfile.net/spreadsheets/pdf_directory/1983.05.31-Swersky.pdf,3363.0
